"phone.ID","rating","color","typy","purchase.date","comment"
3323457,5,"亮黑色","iPhone 7","2016/11/6 16:14","双十一抢购，还行价格一般，体验中"
3323457,5,"亮黑色","iPhone 7","2016/11/18 17:24","一波三折的购手机经历，价格优惠，亮黑也很讨人喜欢，爱不释手……"
3323457,5,"亮黑色","iPhone 7","2016/11/11 15:27","绝对正品放心……自营店靠谱"
3323457,5,"亮黑色","iPhone 7","2016/11/18 11:40","商品很好??系统流畅??"
3323457,5,"亮黑色","iPhone 7","2016/11/11 1:40","手机非常不错，速度非常快，亮黑色真的很漂亮。京东双11活，也非常给力，碰到点问题，京东很快帮忙解决了，产品满意，服务更满意。"
3323457,5,"亮黑色","iPhone 7","2016/10/24 21:33","好"
3323457,5,"亮黑色","iPhone 7","2016/11/12 13:28","手机可以，就是双11送货慢"
3323457,5,"亮黑色","iPhone 7","2016/11/11 10:55","查询后是正品"
3323457,5,"亮黑色","iPhone 7","2016/11/2 6:19","好"
3323457,5,"亮黑色","iPhone 7","2016/11/18 14:10","可以！机好快1"
3323457,5,"亮黑色","iPhone 7","2016/11/19 10:56","手机很好用，送货的速度太快啦，中午定的，下午三点多就送到了，??赞"
3323457,5,"亮黑色","iPhone 7","2016/11/9 21:39","质量没得说，关键是发货速度快。"
3323457,5,"亮黑色","iPhone 7","2016/11/15 12:18","你这听力题哦听听替他"
3323457,5,"亮黑色","iPhone 7","2016/11/18 13:53","这东西确实是可以，京东商城还非常便宜！真的哦不骗人"
3323457,5,"亮黑色","iPhone 7","2016/11/11 8:33","双11买的，应该是比较便宜的价格了。"
3323457,5,"亮黑色","iPhone 7","2016/11/10 12:12","还不错，iPhone挺流畅的，大小合适"
3323457,5,"亮黑色","iPhone 7","2016/11/11 0:51","黑色潮流大众款～奢华低调有内涵～系统流畅～用起来很顺手～活动力度大……省了不少钱～又是正品～相信京东自营～"
3323457,5,"亮黑色","iPhone 7","2016/11/18 9:55","亮黑确实很好看 很喜欢！"
3323457,5,"亮黑色","iPhone 7","2016/11/11 15:02","双十一买的很便宜，用力优惠券，京东果然给力，比某狮子给力多了"
