片名,放映场数,人数,电影票房,类型,上映年份,上映月份,上映周数,宣发方,时长,是否改编,是否真人真事,是否翻拍,是否续集,导演,导演年代,第几部作品,导演得奖情况,导演是否转型,主演1,baidu index1,主演2,baidu index2
不二神探,340.9,908.79,28428,悬疑,2013,6,25,S,98,S,0,0,0,王子鸣,60,1,0,0,李连杰,1916,文章,30321
赛尔号3战神联盟,108.26,222,7673.24,动画,2013,7,28,S,103,S,0,0,1,王章俊,70,2,0,0,杨欧,0,张安琪,0
赛尔号之雷伊与迈尔斯,66.71,112.53,3139.78,动画,2012,6,27,C,90,S,0,0,1,王章俊,70,1,0,0,雷伊,894,麦克斯,442
神秘世界历险记,36.33,79.66,2175.62,动画,2012,8,33,C,82,S,0,0,0,王云飞,70,1,0,0,刘露,0,孟泉霖,0
雪花秘扇,52.82,104.19,3536.2,家庭伦理,2011,6,26,S,104,N,0,0,0,王颖,40,17,1,0,李冰冰,6637,全智贤,13984
白鹿原,153.07,366.78,14299.1,历史剧情,2012,9,38,G,156,N,0,0,0,王全安,60,6,1,0,张丰毅,1521,张雨绮,5086
恋爱通告,56.34,181.62,5430.38,爱情,2010,8,33,G,98,S,0,0,0,王力宏,70,1,0,1,王力宏,21943,刘亦菲,36026
财神客栈,127.68,340.7,10314.26,喜剧,2011,6,27,S,97,S,0,0,0,王晶,50,110,1,0,谢霆锋,22975,张家辉,4142
大上海,178.02,444.57,15012.96,历史剧情,2012,12,52,S,107,S,0,1,0,王晶,50,99,1,0,周润发,11814,黄晓明,14101
笑功震武林,142.09,232.96,6934.96,喜剧,2013,3,10,S,90,S,0,0,0,王晶,50,98,1,0,洪金宝,4762,吴君如,2196
嫁个一百分男人,67.89,84.48,2539.37,爱情,2012,3,12,G,90,S,0,0,0,王晶,50,95,1,0,郑中基,2338,梁咏琪,2680
冠军宝贝之无价之宝,51.09,75.95,2249.42,动画,2011,8,34,G,90,S,0,0,0,王晶,50,79,1,0,郑中基,2338,张柏芝,25482
未来警察,79.04,198.09,6073.06,魔幻,2010,3,14,G,99,S,0,0,0,王晶,50,76,1,0,李冰冰,40822,徐熙媛,2134
美丽密令,55.43,130.14,3834.85,爱情,2010,3,14,L,98,S,0,0,0,王晶,50,75,1,0,蔡卓妍,3401,吴君如,2196
巴黎宝贝,54.02,75.68,2175.32,家庭伦理,2011,8,35,G,92,S,0,0,0,王菁,70,2,0,0,邓超,11490,,
一代宗师,301.34,796.92,28825.54,动作,2013,1,2,C,130,S,0,0,0,王家卫,50,19,1,0,梁朝伟,6152,章子怡,16323
飞天,29.98,199.57,6756.36,主旋律,2011,7,27,C,120,S,1,0,0,王珈 沈东,50,13,1,0,刘之冰,492,于波,1715
制服,47.09,45.5,1309.89,警匪,2013,10,44,G,95,S,0,0,0,王光利,60,8,0,0,任达华,3954,徐若瑄,5301
魁拔之大战元泱界,47.1,74.43,2537.56,动画,2013,5,22,S,98,S,0,0,1,王川,70,2,0,0,刘婧荦,109,刘露,191
等风来,21.97,72.19,2174.52,爱情,2013,12,53,G,107,S,0,0,0,滕华涛,70,11,1,0,倪妮,8356,井柏然,3036
失恋33天,290.39,1119.94,35606.94,爱情,2011,11,33,G,110,N,0,0,0,滕华涛,70,10,1,0,文章,30326,白百合,5527
大人物,33.73,40.24,1112.63,喜剧,2011,3,11,C,90,S,0,0,0,谭华,60,3,0,0,杨乐乐,2866,吴孟达,2499
我愿意,124.53,251.82,8543.58,爱情,2012,2,7,G,106,S,0,0,0,孙周,50,8,1,0,李冰冰,6637,孙红雷,6392
致命请柬,29.55,36.61,1052.22,惊悚,2011,3,10,L,95,S,0,0,0,孙小光,60,4,0,0,张达明,669,焦婷,0
兔侠传奇,31.39,45.8,1583.94,动画,2011,7,29,L,89,S,0,0,0,孙立军,50,4,0,0,范伟,2331,闫妮,3891
天机——富春山居图,302.61,775.29,29909.37,动作,2013,6,23,G,122,S,0,0,0,孙建君,50,2,0,0,刘德华,40822,林志玲,16505
大闹天宫（2011版）,60.49,144.44,4951.3,动画,2012,1,3,C,90,S,0,1,0,速达,70,2,0,0,孙悟空,3209,,
剑雨,79.47,202.97,6568.08,动作,2010,9,40,S,122,S,0,0,0,苏照彬,60,3,0,0,杨紫琼,1878,郑雨盛,545
十二星座离奇事件,45.64,68.57,2020.01,惊悚,2012,7,29,S,102,S,0,0,0,盛志民,60,3,0,0,佟大为,4974,甘薇,1058
摩登时代,139.95,231.84,6853.17,家庭伦理,2013,8,34,C,93,S,0,0,0,邵晓黎,60,1,0,0,徐峥,3770,张子枫,2307
武林外传,161.98,530.02,18964.94,喜剧,2011,1,5,G,106,S,0,1,0,尚敬,50,13,1,0,闫妮,3891,姚晨,6337
饭局也疯狂,49.88,140.4,4396.15,喜剧,2012,1,5,G,100,S,0,0,0,尚敬,50,3,1,0,范伟,2331,黄渤,9285
我老公不靠谱,74.41,87.01,2568.78,爱情,2012,12,50,L,106,S,0,0,0,阮世生,60,14,1,0,蔡卓妍,3401,郑伊健,5948
五月天追梦,44.7,69.21,2788.25,励志,2011,9,39,S,95,S,0,0,0,曲全立、孔玟燕、张荣吉,70,2,0,0,陈信宏,1200,刘若英,8686
花田喜事2010,56.14,203.06,6179.05,喜剧,2010,2,7,S,93,S,0,0,1,邱礼涛,60,97,1,0,古天乐,9501,吴君如,2196
叶问——终极一战,47.17,37.23,1107.09,动作,2013,3,12,L,100,S,1,0,1,邱礼涛,60,55,1,0,黄秋生,2513,袁咏仪,2731
叶问前传,25.72,44.42,1343.3,动作,2010,6,26,L,100,S,1,0,1,邱礼涛,60,46,1,0,杜宇航,328,黄奕,5317
女蛹,32.94,39.61,1198.22,惊悚,2013,2,5,S,98,S,0,0,0,邱处机,60,1,1,0,张榕荣,0,任泉,2199
翡翠明珠,12.89,36.13,1077.75,爱情,2010,8,33,L,104,S,0,0,0,秦小珍 陈庆嘉,70,4,0,0,蔡卓妍,3401,林峰,13470
波鲁鲁冰雪大冒险,31.18,37,1231.96,动画,2013,1,4,G,77,S,0,0,0,朴英均,60,1,0,0,李善,0,李美子,0
同谋,58.23,70.81,2267.64,动作,2013,4,17,S,90,S,0,0,0,彭顺,60,24,1,0,郭富城,7367,张家辉,4142
B+侦探,45,73.73,2381.27,悬疑,2011,4,18,L,100,S,0,0,1,彭顺,60,22,1,0,郭富城,7367,廖启智,397
梦游,29.67,31.91,1078.85,惊悚,2011,10,44,L,100,S,0,0,0,彭顺,60,21,1,0,李心洁,1437,霍思燕,8566
逃出生天,181.84,366.75,13377.21,动作,2013,9,40,S,107,S,0,0,0,彭氏兄弟,60,7,1,0,谢霆锋,22975,刘青云,1908
春娇与志明,133.78,216.03,7088.01,爱情,2012,3,14,L,111,S,0,0,1,彭浩翔,70,12,1,0,余文乐,3655,杨千嬅,2423
追凶,45.35,51.03,1651.09,警匪,2012,5,20,S,90,S,0,0,0,彭发,60,16,1,0,刘青云,1908,王宝强,6004
影子爱人,59.97,58.3,1813.8,爱情,2012,5,20,L,100,S,0,0,0,潘源良,60,3,0,0,张柏芝,25482,权相佑,1192
紫宅,35.23,45.75,1325.94,惊悚,2011,9,39,L,93,S,0,0,0,潘恒生,50,1,0,0,汪东城,7607,佟丽娅,16270
宫锁沉香,97.89,172.09,5458.93,爱情,2013,8,33,C,115,S,0,0,0,潘安子,70,3,0,0,周冬雨,8291,陈晓,15220
双城计中计,55.17,76.27,2318.1,喜剧,2012,2,9,C,98,S,0,0,0,潘安子,70,2,0,0,任贤齐,6381,腾格尔,1428
爱,132.26,386.46,13679.86,爱情,2012,2,8,S,120,S,0,0,0,钮承泽,60,5,1,1,舒淇,10322,赵薇,21334
白狐,57.9,84.56,3157.3,魔幻,2013,9,39,L,130,N,0,0,0,牛朝阳,70,4,0,0,钟欣潼,394,张智霖,5284
床下有人,41.83,60.28,1741.24,惊悚,2011,10,42,L,100,S,0,0,0,牛朝阳,60,3,0,0,何静,1202,郭晓然,280
半夜不要照镜子,32.07,38.57,1141.81,惊悚,2012,6,25,C,90,S,0,0,0,牛朝阳,70,3,0,0,关智斌,1402,李曼筠,366
电梯惊魂,55.55,75.04,2217.94,惊悚,2013,2,8,G,88,S,0,0,0,宁敬武,60,14,1,0,蓝正龙,1602,周秀娜,5045
无人区,358.12,827.69,25909.5,动作,2013,12,49,G,117,S,0,0,0,宁浩,70,10,1,0,徐峥,3770,余男,2878
黄金大劫案,188.55,465.16,15146.02,喜剧,2012,4,18,S,108,S,0,0,0,宁浩,70,8,1,0,雷佳音,1746,陶虹,2130
谍海风云,62.8,138.43,4648.77,历史剧情,2010,6,25,C,120,S,0,0,0,米凯尔·哈弗斯特罗姆,60,5,0,0,巩俐,4975,周润发,11814
听风者,242.2,654.62,23224.03,悬疑,2012,8,33,L,120,S,0,0,0,麦兆辉、庄文强,60,18,1,0,梁朝伟,6152,周迅,6495
关云长,184.13,470.33,15872.59,动作,2011,4,18,L,109,S,1,0,0,麦兆辉、庄文强,60,16,1,0,甄子丹,9630,姜文,3167
窃听风云2,216.13,641.02,21467.12,警匪,2011,8,34,S,121,S,0,0,1,麦兆辉 庄文强,60,15,1,0,古天乐,9501,刘青云,1908
我爱的是你爱我,83.96,97.07,3015.46,爱情,2013,11,45,S,97,S,0,0,0,马志宇,70,5,0,0,张涵予,1896,王珞丹,6692
真心话大冒险 ,26.68,49.43,1533.37,爱情,2012,2,8,S,100,S,0,0,0,马志宇,70,4,0,0,苗圃,3528,文章,30326
河东狮吼2,117.96,229.07,7091.79,喜剧,2012,8,34,S,102,S,0,0,1,马伟豪,60,30,1,0,张柏芝,25482,小沈阳,10215
我的野蛮女友2,42.98,71.72,2101.13,爱情,2010,11,45,L,88,S,0,0,1,马伟豪,60,28,1,0,熊黛林,3371,立威廉,1421
寻龙夺宝,67.99,107.44,3248.46,动画,2011,3,11,G,95,S,0,0,0,马里奥·安德鲁西奥,50,8,0,0,山姆·尼尔,84,王姬,1229
极速天使,45.1,80,2521,动作,2011,12,53,S,117,S,0,0,0,马楚成,50,17,1,0,刘若英,8686,汤唯,13429
B区32号,34.56,51.87,1525.49,惊悚,2011,6,23,L,87,S,0,0,0,吕建民,60,1,0,0,唐宸禹,193,邓紫衣,553
荒村公寓,27.98,80.99,2380.54,惊悚,2010,8,33,S,96,S,0,0,0,罗志良,60,10,1,0,张雨绮,5086,余文乐,3655
消失的子弹,182.64,482.96,15611,悬疑,2012,8,34,S,100,S,0,0,0,罗志良,60,7,0,0,谢霆锋,22975,刘青云,1908
金刚王死亡救赎,46.27,40.43,1252.83,动作,2013,9,39,L,110,S,0,0,0,罗永昌,60,10,1,0,释延能,454,雅攻,0
岁月神偷,23.84,53.58,1534.14,家庭伦理,2010,4,16,C,117,S,0,0,0,罗启锐,50,4,1,0,吴君如,2196,任达华,3954
寒战,358.66,800.67,25360.89,警匪,2012,11,46,C,102,S,0,0,0,陆剑青、梁乐民,70,1,0,0,郭富城,7367,梁家辉,2638
王的盛宴,124.76,228.77,7710.43,历史剧情,2012,11,49,C,120,N,1,0,0,陆川,70,7,1,0,刘烨,5534,吴彦祖,6249
东风雨,48.99,91.48,3069.42,历史剧情,2010,4,17,G,117,S,0,0,0,柳云龙,60,1,0,1,柳云龙,1532,范冰冰,31508
东成西就2011,106.87,259.46,8135.71,喜剧,2011,11,48,L,103,S,0,1,0,刘镇伟,50,28,1,0,陈奕迅,17713,莫文蔚,3659
越光宝盒,134.85,416.39,13297.01,魔幻,2010,3,12,S,90,S,0,0,0,刘镇伟,50,24,1,0,郑中基,2338,孙俪,18049
血滴子,100.88,182.56,7232.72,动作,2012,12,52,L,112,S,0,1,0,刘伟强,60,42,1,0,黄晓明,14101,阮经天,2790
不再让你孤单 ,52.47,64.41,2030.61,爱情,2011,5,20,S,124,S,0,0,0,刘伟强,60,40,1,0,舒淇,10322,刘烨,5534
精武风云陈真,133.53,432.67,14122.4,动作,2010,9,39,S,110,S,0,1,0,刘伟强,60,37,1,0,甄子丹,9630,舒淇,10322
摩尔庄园海妖宝藏,49.86,76.3,2528.57,动画,2012,7,28,C,95,S,0,0,1,刘可欣,70,2,0,0,黄渤,9285,季冠霖,912
摩尔庄园冰世纪,41.23,64.46,1757.21,动画,2011,8,33,G,95,S,0,0,1,刘可欣,70,1,1,0,张凯,476,周志强,171
青春派,63.94,97.91,2820.16,励志,2013,8,31,G,91,S,0,0,0,刘杰,60,4,1,0,董子健,239,秦海璐,2133
古镇凶灵,38.81,36.77,1062.42,惊悚,2013,9,36,G,90,S,0,0,0,刘辉,70,1,0,0,徐海乔,236,蒋松,74
赛尔号,75.38,160.48,4429.12,动画,2011,7,31,S,90,S,0,0,0,刘虹,,,,,倪康,0,武艺,9346
假装情侣,58.07,103.66,3194.47,爱情,2011,6,26,L,93,S,0,0,0,刘奋斗,60,2,0,0,黄渤,9285,江一燕,3811
回到爱开始的地方,33.87,37.07,1123.77,爱情,2013,8,34,L,95,S,0,0,0,林孝谦,80,4,1,0,周渝民,3719,刘诗诗,58010
星空,33.01,52.1,1675.86,儿童,2011,11,45,S,99,S,0,0,0,林书宇,70,2,0,0,徐娇,4295,林晖闵,1018
百万巨鳄,34.9,41.14,1286.3,灾难,2012,6,24,C,95,S,0,0,0,林黎胜,60,5,0,0,徐熙媛,2134,郭涛,3695
激战,156.78,374.16,11804.32,动作,2013,8,33,S,122,S,0,0,0,林超贤,60,21,1,0,彭于晏,5172,张家辉,4147
逆战,127.95,391.12,12953.84,警匪,2012,1,4,S,120,S,0,0,0,林超贤,60,20,1,0,周杰伦,40502,谢霆锋,22975
线人,68.82,169.83,5374.19,警匪,2010,8,35,S,90,S,0,0,0,林超贤,60,20,1,0,谢霆锋,22975,张家辉,4142
火龙对决,36.84,61.47,1873.78,警匪,2010,4,14,S,110,S,0,0,0,林超贤,60,18,1,0,任贤齐,6385,黎明,6245
诡爱,45.05,40.58,1210.27,爱情,2012,10,45,C,107,S,0,0,0,梁婷,70,1,0,0,辛芷蕾,289,成毅,132
诡婴吉咪,40.69,49.68,1825.82,惊悚,2013,10,44,S,142,S,0,0,0,梁普智,30,15,1,0,林峰,13470,盛君,140
大武当之天地密码,70.34,122.74,3807.15,动作,2012,7,28,L,100,S,0,0,0,梁柏坚,50,13,0,0,赵文卓,6083,杨幂,84936
二次曝光,168.18,329.34,10763.11,爱情,2012,9,40,L,105,S,0,0,0,李玉,70,4,1,0,范冰冰,31508,"
冯绍峰",15972
