片名,放映场数,人数,电影票房,类型,上映年份,上映月份,上映周数,宣发方,时长,是否改编,是否真人真事,是否翻拍,是否续集,导演,导演年代,第几部作品,导演得奖情况,导演是否转型,主演1,baidu index1,主演2,baidu index2
建党伟业,331.64,1234.88,42290.1,主旋律,2011,6,25,G,125,S,1,0,0,韩三平、黄建新,50,5,1,0,刘烨,5534,陈坤,6332
功夫梦,64.01,156.54,4817.18,动作,2010,6,26,G,133,S,0,0,0,哈罗德·兹瓦特,60,14,0,0,成龙,21802,刘亦菲,36026
小时代:青木时代,301.16,940.6,29350.13,爱情,2013,8,32,S,116,N,0,0,1,郭敬明,80,2,1,1,杨幂,84936,郭采洁,7641
小时代,455.6,1533.24,48814.05,爱情,2013,6,27,S,116,N,0,0,0,郭敬明,80,1,0,1,杨幂,84936,柯震东,11375
厨子戏子痞子,307.56,859.65,27058.21,动作,2013,3,13,S,108,S,0,0,0,管虎,60,9,1,0,刘烨,5534,张涵予,1894
杀生,39.59,60.58,1955.79,动作,2012,4,18,L,109,S,0,0,0,管虎,60,9,1,0,黄渤,9285,任达华,3954
笔仙惊魂,53.9,80.8,2353.12,惊悚,2012,6,24,L,92,S,0,0,1,关尔,70,2,0,0,何杜娟,429,翟文斌,113
最爱,114.38,192.24,5998.28,爱情,2011,5,20,C,105,N,0,0,0,顾长卫,50,3,1,0,章子怡,16323,郭富城,7367
百星酒店,93.27,181.44,5838.34,喜剧,2013,2,5,S,100,S,0,0,0,谷德昭,60,13,1,0,郑中基,2338,薛凯琪,4265
神奇侠侣,65.82,162.87,5177.67,喜剧,2011,2,6,L,100,S,0,0,0,谷德昭,60,13,1,0,古天乐,9501,吴君如,2196
男人如衣服,83.47,103.35,3143.94,爱情,2012,10,42,L,90,S,0,0,0,谷德昭,60,11,1,1,黄百鸣,1243,毛舜筠,1501
猪猪侠之囧囧危机,30.15,42.33,1200.58,动画,2012,6,27,G,90,S,0,0,1,古志斌,70,1,0,0,GG Bond,0,,
熊猫总动员 ,40.58,120.91,4661.16,动画,2011,2,6,L,90,S,0,0,0,格里格·曼瓦林,70,2,0,0,何炅,17178,刘纯燕,930
大武生,91.43,148.98,4835.13,动作,2011,9,37,L,108,S,0,0,0,高晓松,60,3,0,1,吴尊,11356,韩庚,17592
一场风花雪月的事,50.4,71.84,2278.38,爱情,2013,8,32,L,114,N,0,1,0,高群书,60,8,1,0,杨颖,7602,黄晓明,14101
西风烈,106.62,216.93,6981.26,警匪,2010,10,44,S,118,S,0,0,0,高群书,60,4,1,0,吴镇宇,4476,段奕宏,1833
快乐大本营之快乐到家,229.38,524.88,15388.38,喜剧,2013,1,3,S,97,S,0,0,0,傅华阳,60,5,1,0,何炅,17178,谢娜,25403
七小罗汉,28.2,80.52,2507.06,动作,2010,7,30,G,85,S,0,0,0,傅华阳,60,4,1,0,曾志伟,2991,王浩,0
超级经纪人,72.01,94.14,2885.26,喜剧,2013,9,36,L,99,S,0,0,0,冯志强,80,2,0,0,蔡卓妍,3401,杜汶泽,4978
举起手来（之二）追击阿多丸,20.24,41.3,1010.16,喜剧,2010,9,37,G,91,S,0,0,1,冯小宁,50,13,1,0,潘长江,2639,郭达,857
私人订制,450.27,1663.53,58950.9,喜剧,2013,12,51,S,120,S,0,0,1,冯小刚,50,18,1,0,葛优,2547,白百何,5527
一九四二,311.55,1005.39,37076.52,历史剧情,2012,11,49,C,146,N,1,0,0,冯小刚,50,17,1,0,张国立,3953,陈道明,4341
非诚勿扰II,286.53,1250.3,48060.25,爱情,2010,12,52,S,125,S,0,0,1,冯小刚,50,15,1,0,葛优,2547,舒淇,10322
唐山大地震,372.84,1817.49,67332.25,灾难,2010,7,30,S,139,N,1,0,0,冯小刚,50,14,1,0,徐帆,1544,张静初,3556
太极2英雄崛起,193.6,293.72,11848.11,魔幻,2012,11,45,C,95,S,0,0,1,冯德伦,70,7,0,1,梁家辉,2638,彭于晏,5173
太极1从零开始,208.93,366.82,14771.46,魔幻,2012,9,40,C,98,S,0,0,1,冯德伦,70,6,0,1,袁晓超,417,杨颖,7602
绝命岛,37.56,62.93,1836.06,惊悚,2010,10,42,L,90,S,0,0,0,冯超,70,3,0,0,冯超,183,林雪,964
全民目击,278.75,570.3,18126.44,悬疑,2013,9,37,L,119,S,0,0,0,非行,70,2,0,0,孙红雷,6392,郭富城,7367
守望者：罪恶迷途,45.49,56.86,1805.25,警匪,2011,3,13,G,103,S,0,0,0,非行,70,2,0,0,任达华,3954,张静初,3558
大魔术师,151.04,515.8,17412.13,喜剧,2012,1,3,S,128,S,0,0,0,尔冬升,50,16,1,1,梁朝伟,6152,刘青云,1908
枪王之王,118.89,411.48,12943.25,动作,2010,7,27,S,130,S,0,0,0,尔冬升,50,16,1,1,古天乐,9501,吴彦祖,6249
盲探,237.25,651.44,20957.79,爱情,2013,7,27,L,129,S,0,0,0,杜琪峰,50,63,1,0,李冰冰,40822,郑秀文,2890
单身男女,130.15,290.5,9616.49,爱情,2011,3,11,L,115,S,0,0,0,杜琪峰,50,60,1,0,古天乐,9501,高圆圆,22690
毒战,204.92,456.69,14649.79,警匪,2013,4,16,G,108,S,0,0,0,杜琪峰,50,57,1,0,古天乐,9501,孙红雷,6392
高海拔之恋Ⅱ,46.82,63.12,2163.29,爱情,2012,2,7,L,112,S,0,0,1,杜琪峰,50,55,1,0,古天乐,9501,郑秀文,2890
杨善洲,103.61,424.82,10706,主旋律,2011,7,30,S,100,S,1,0,0,董玲,50,10,1,0,李雪健,1285,李晨,8299
警察故事2013,254.39,863.78,34540.63,警匪,2013,12,52,C,108,S,0,0,1,丁晟,60,6,1,0,成龙,21802,刘烨,5534
硬汉2-奉陪到底,52.69,72.52,2352.94,动作,2011,4,14,G,92,S,0,0,1,丁晟,70,4,0,0,刘烨,5534,张梓琳,3281
大兵小将,126.07,505.16,16218.38,动作,2010,2,7,G,96,S,0,0,0,丁晟,60,3,1,1,成龙,21802,王力宏,21943
非常幸运,222.14,421.66,13714.22,爱情,2013,9,38,S,100,S,0,0,0,丹尼邓肯,50,23,1,0,王力宏,21943,章子怡,16323
黑猫警长,23.1,64.36,1417.29,动画,2010,4,17,G,90,S,0,1,0,戴铁郎,30,7,0,0,黑猫警长,4995,,
白蛇传说,243.34,651.43,21096.54,魔幻,2011,9,40,S,100,S,0,1,0,程小东,50,22,1,1,李连杰,1916,黄圣依,6391
边境风云,59.25,92.23,2927.83,警匪,2012,8,34,C,95,S,0,0,0,程耳,70,3,1,0,孙红雷,6392,王珞丹,6692
辛巴达历险记,63.68,140.3,3911.8,动画,2013,5,22,C,90,S,0,0,0,程炳峰,70,1,0,0,辛巴达,468,,
十二生肖,567.5,2201.44,88292.62,动作,2012,12,52,C,120,S,0,0,0,成龙,50,18,1,1,成龙,21802,姚星彤,2073
101次求婚,222.48,599.36,20042,爱情,2013,2,7,C,104,S,0,1,0,陈正道,80,15,0,0,黄渤,9285,林志玲,16505
幸福额度,77.16,106.45,3434.22,爱情,2011,10,43,S,95,S,0,0,0,陈正道,80,12,0,0,林志玲,16505,廖凡,1756
爱出色,34.74,45.91,1320.43,爱情,2010,11,46,C,97,S,0,0,0,陈奕利,70,1,0,0,姚晨,6337,刘烨,5534
杨门女将之军令如山,70.03,126.9,3897.14,动作,2011,11,47,G,110,S,0,1,0,陈勋奇,50,21,1,1,张柏芝,25482,刘晓庆,7979
八星报喜,92.22,255.47,8451.72,喜剧,2012,1,4,S,117,S,0,0,0,陈庆嘉 秦小珍,50,12,1,1,甄子丹,9630,杨幂,84936
最强喜事2011,141.71,497.43,16697.08,喜剧,2011,1,6,S,103,S,0,0,1,陈庆嘉,50,11,1,1,甄子丹,9630,古天乐,9501
新少林寺,176.76,599.28,21623.18,动作,2011,1,4,G,130,S,0,1,0,陈木胜,60,24,1,0,刘德华,40812,谢霆锋,22975
扫毒,314.93,744.84,23770.16,警匪,2013,11,48,L,135,S,0,0,0,陈木胜,60,23,1,0,古天乐,9501,张家辉,4142
全城戒备,81.34,288.69,9033.12,动作,2010,8,32,G,113,S,0,0,0,陈木胜,60,17,1,0,郭富城,7367,舒淇,10322
周恩来的四个昼夜,21.11,175.47,5579.54,主旋律,2013,7,29,G,106,S,0,0,0,陈力,60,13,1,0,孙维民,163,郝岩,139
中国合伙人,586.62,1672.64,53922.26,励志,2013,5,20,G,112,S,0,0,0,陈可辛,60,16,1,0,黄晓明,14101,邓超,11490
武侠,179.81,509.23,17202.6,动作,2011,7,28,S,114,S,0,0,0,陈可辛,60,15,1,0,甄子丹,9630,金城武,3736
赵氏孤儿,166.59,562.01,18805.5,历史剧情,2010,12,49,S,124,N,1,0,0,陈凯歌,50,16,1,0,葛优,2547,王学圻,1270
搜索,215.7,528.78,17353.91,悬疑,2012,7,28,S,121,N,0,0,0,陈凯歌,50,16,1,0,高圆圆,22690,姚晨,6337
四大名捕,247.63,590.05,19216.69,动作,2012,7,29,S,118,N,0,0,0,陈嘉上、秦小珍,60,37,1,0,邓超,11490,刘亦菲,36026
四大名捕2,248.02,473.66,17436.27,动作,2013,12,49,S,120,N,0,0,1,陈嘉上,60,38,1,0,邓超,11490,刘亦菲,36026
画壁,199.86,544.12,17804.75,魔幻,2011,9,40,S,100,S,0,0,0,陈嘉上,60,33,1,0,邓超,11490,闫妮,3891
郭明义,12.98,224.1,6508.49,主旋律,2011,7,29,G,90,S,1,0,0,陈国星、王竞,50,13,1,0,侯勇,1278,姜宏波,521
第一书记,9.69,71.06,1646.19,主旋律,2010,7,29,L,94,S,1,0,0,陈国星,50,13,1,0,杨立新,716,徐帆,1544
我知女人心,80.86,193.39,6666.88,爱情,2011,2,6,S,116,S,0,1,0,陈大明,60,4,0,1,刘德华,40812,胡静,2460
72家租客,30.75,124.66,3863.35,喜剧,2010,2,7,L,98,S,0,1,0,曾志伟、钟澍佳、叶念琛,50,1,0,1,张学友,31125,袁咏仪,2731
我爱HK 开心万岁,29.17,91.67,2956.72,喜剧,2011,1,6,S,104,S,0,0,0,曾志伟、钟澍佳,50,2,0,1,曾志伟,2991,梁家辉,2638
全面开战,123.8,277.72,8769.19,警匪,2012,6,26,G,142,S,0,0,0,蔡岳勋,60,1,0,0,黄渤,9285,赵又廷,8505
控制,112.18,141.24,4374.83,警匪,2013,11,47,C,92,S,0,0,0,毕国智,60,5,0,0,吴彦祖,6249,姚晨,6337
潜艇总动员2 ,19.82,46.58,1642.74,动画,2012,6,32,C,85,S,0,0,1,鲍勃·道塞特,60,1,0,0,阿力,222,贝贝,962
笔仙Ⅱ,140.89,267.14,8259.17,惊悚,2013,7,29,C,94,S,0,0,1,安兵基,60,6,0,0,朴韩星,272,辛芷蕾,289
笔仙,111.34,187.07,5827.06,惊悚,2012,7,30,G,95,S,0,0,0,安兵基,60,5,1,0,梅婷,2594,郭京飞,1672
魔侠传之唐吉可德,49.95,97.2,3774.74,魔幻,2010,10,42,L,105,N,0,0,0,阿甘,60,11,1,0,郭涛,3695,林嘉欣,1543
风暴,318.79,801.6,30913.51,警匪,2013,12,50,S,109,S,0,0,0, 袁锦麟,60,3,0,0,刘德华,40822,林家栋,808
分手合约,267.7,612.11,19263.62,爱情,2013,4,15,G,103,S,0,0,0, 吴基桓,60,5,0,0,彭于晏,5173,白百何,5527
